Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_44_157.jpg;-5.980359;1;0;2.960248;103.0054;90.56202;1.351525;55.31282;0.001291452
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_44_207.jpg;-8.232302;1;0;2.98732;103.0761;90.65855;1.340942;54.68551;-0.003363589
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_44_257.jpg;-10.4903;1;0;3.025699;103.1864;90.80221;1.312281;53.41494;359.9346
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_44_307.jpg;-12.74201;1;0;3.049834;103.2628;90.89658;1.263409;52.32612;359.8671
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_44_357.jpg;-14.99362;1;0;3.08597;103.3817;91.03487;1.103361;50.33731;359.7491
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_44_407.jpg;-15;1;0;3.110019;103.4645;91.12471;0.9646858;48.88347;359.6298
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_44_457.jpg;-14.25209;1;0;3.14574;103.5934;91.25632;0.7129501;46.66788;359.4153
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_44_507.jpg;-12.00902;1;0;3.171398;103.6819;91.34261;0.5213431;45.31259;359.27
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_44_557.jpg;-9.764391;1;0;3.210646;103.8187;91.47038;0.2324132;43.5744;359.0408
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_44_607.jpg;-7.513685;1;0;3.236573;103.9121;91.55509;0.04361223;42.63887;358.901
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_44_657.jpg;-5.263072;1;0;3.274222;104.0557;91.68369;359.8595;41.61037;358.7906
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_44_707.jpg;-2.99875;1;0;3.292285;104.1539;91.77206;359.8823;41.21031;358.8483
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_44_757.jpg;-0.7530322;1;0;3.333323;104.3055;91.90598;0.01873953;40.78411;358.9854
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_44_807.jpg;0;1;0;3.360873;104.4083;91.99539;0.1092331;40.67588;359.0722
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_44_857.jpg;0;1;0;3.399435;104.5648;92.13068;0.2763889;40.62595;359.207
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_44_907.jpg;0;1;0;3.425048;104.6706;92.22177;0.4084211;40.61975;359.3006
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_44_957.jpg;0;1;0;3.463392;104.8309;92.35992;0.6283143;40.62917;359.4521
